Fecha (mes y año),Alcalinidad,Conductividad,DBO,DQO,Dureza,Fenoles,N-Amoniacal,Cloruros,N-Nitrato,P-Fosfato,Oxígeno disuelto,pH,Sólidos suspendidos totales,SAAM-Detergentes,Turbidez,Coliformes totales,Escherichia Coli,Norte (Y),Este(X) ,Caudal,Temperatura agua,Temperatura aire
1/03/2021,"68,51",348,"24,6",100,"51,44",#N/A,#N/A,"48,29",#N/A,#N/A,"0,68","7,11",125,"0,43","17,10",1410000,146000,1029594,1005366,17367,"17,6",13
1/03/2021,347,925,154,301,"75,63",#N/A,#N/A,"71,44","0,17","5,01","1,04","7,99","96,7","4,16","80,70","3,93",1190000,1029204,1004247,100,"17,5","11,7"
1/03/2021,74,356,24,105,"48,42",#N/A,#N/A,"49,34",#N/A,#N/A,"1,70","7,20",140,"0,58","16,20",1200000,249000,1028991,1004010,#N/A,"16,4","12,3"
1/03/2021,73,319,"16,4","83,33","64,15",#N/A,#N/A,"41,16",#N/A,#N/A,"1,04","7,05",215,#N/A,105,866000,86200,1025840,1000755,12763,"15,6","11,8"
1/03/2021,10,"75,4","2,5",2,"26,23",#N/A,#N/A,"10,81","0,38",#N/A,"5,60","6,75",19,#N/A,"15,6",32700,2480,1036480,1001037,405,"13,1","16,8"
1/03/2021,"51,46",195,"15,80",2,"41,66",#N/A,#N/A,"20,49",#N/A,#N/A,"1,48","7,09",17,#N/A,"16,60",2420000,816000,1028298,1000920,1681,"14,4",15
1/03/2021,43,232,"12,30","51,40","44,44",#N/A,#N/A,"27,93","0,24",#N/A,"1,31","7,10",108,#N/A,"57,70",980000,167000,1026408,999466,14204,"15,7","17,8"
1/03/2021,80,353,"16,70","79,30",3,#N/A,#N/A,"0,72",#N/A,#N/A,"0,94","7,12",55,#N/A,"54,40",2140000,199000,1022467,997980,8542,"15,6","10,2"
1/03/2021,144,622,"74,40",159,3,#N/A,#N/A,"8,89",#N/A,#N/A,"4,23","7,04",58,"1,07","2,45",17200000,3840000,1022485,997945,#N/A,"18,2","10,4"
1/03/2021,164,699,"12,60","69,10",138,#N/A,#N/A,"66,61",#N/A,"0,85","0,68","7,03",7,#N/A,"11,50",27200,6500,1017696,994739,#N/A,"15,2","14,2"
1/03/2021,"82,81",699,"10,60","63,20","74,54",#N/A,#N/A,"40,65",#N/A,#N/A,"1,13","7,02",32,"0,40","36,20",2610000,364000,1017412,994663,10582,"15,2","10,1"
1/03/2021,"5,90","22,80",#N/A,"22,40",3,#N/A,#N/A,"0,53",#N/A,#N/A,"7,72","6,59",#N/A,#N/A,"2,30",504,110,1003046,1002085,31,"11,1","9,7"
1/03/2021,173,557,108,271,3,#N/A,#N/A,"39,73",#N/A,"2,65","1,05","7,27",54,"3,20","56,10",32600000,7380000,1015916,994759,1663,"16,8",14
1/03/2021,242,834,33,184,3,#N/A,#N/A,"64,83",#N/A,4,"4,29","7,47",94,"0,53","41,60",2100000,573000,1015587,994598,"2,19","18,2","19,6"
1/03/2021,127,495,"28,20","72,27",3,#N/A,#N/A,"53,95",#N/A,"0,40","0,42","7,53",26,"0,65","29,70",3870000,1290000,1014656,994550,13952,"17,7",23
1/03/2021,"96,48","2,48","3,80",49,3,#N/A,#N/A,"16,04",#N/A,"0,39","0,57","6,68",#N/A,"0,40","2,55",7380,116,1014442,992329,"98,4",15,"13,6"
1/03/2021,217,792,171,291,3,#N/A,#N/A,"62,53",#N/A,"3,94","0,46","7,51",100,"3,70","67,50",579000000,13000000,1014319,992104,#N/A,"17,3","13,7"
1/03/2021,123,692,"30,20","91,33",3,#N/A,#N/A,"65,36",#N/A,"0,37","1,36","7,18",22,"0,70","30,80",8090000,980000,1014328,992098,16918,"17,7","20,3"
1/03/2021,184,645,"76,20",156,3,#N/A,#N/A,"63,80",#N/A,"1,55","0,57","7,54",70,"1,89","49,20",17300000,4350000,1011033,989481,16319,"17,7","12,3"
1/07/2020,186,642,154,317,"72,82",#N/A,"25,604","62,75",#N/A,"3,33","1,53","7,99",157,"5,22","83,8",49000000,9300000,1005883,988418,34434,"18,7",18
1/07/2020,145,511,"73,30",212,"64,92","0,34","14,179","62,64","0,14","1,76","0,86","7,80","87,50","2,33","46,7",98000000,31000000,1003658,984465,34185,"18,2","15,3"
1/07/2020,"7,50","25,40",#N/A,"13,90","8,3",#N/A,#N/A,"4,27","0,36",#N/A,"6,58","6,94",20,#N/A,"32,1",41000000,12000000,982622,992729,12363,"14,6","16,9"
1/07/2020,130,422,"87,8",161,"47,77",#N/A,"18,699","42,07",#N/A,"2,11","0,67","8,08",167,"1,48","68,4",6500,100,1003608,983946,15758,"16,3","15,6"
